run, program, qubits, run time, number_of_transformations
49, var_q2_03_R, 2, 0.02138996124267578, 3
50, var_q2_03_R, 2, 0.02155756950378418, 3
51, var_q2_03_R, 2, 0.02126026153564453, 3
52, var_q2_03_R, 2, 0.021317481994628906, 3
53, var_q2_03_R, 2, 0.021813392639160156, 3
54, var_q2_03_R, 2, 0.021148204803466797, 3
55, var_q2_03_R, 2, 0.02165961265563965, 3
56, var_q2_03_R, 2, 0.021094083786010742, 3
57, var_q2_03_R, 2, 0.021850109100341797, 3
58, var_q2_03_R, 2, 0.02140331268310547, 3
59, var_q2_03_R, 2, 0.021114110946655273, 3
60, var_q2_03_R, 2, 0.02149820327758789, 3
61, var_q2_03_R, 2, 0.02133798599243164, 3
62, var_q2_03_R, 2, 0.021581649780273438, 3
63, var_q2_03_R, 2, 0.021405696868896484, 3
64, var_q2_03_R, 2, 0.021563291549682617, 3
65, var_q2_03_R, 2, 0.02167201042175293, 3
66, var_q2_03_R, 2, 0.020879268646240234, 3
67, var_q2_03_R, 2, 0.020864248275756836, 3
68, var_q2_03_R, 2, 0.02109217643737793, 3
69, var_q2_03_R, 2, 0.021209239959716797, 3
70, var_q2_03_R, 2, 0.020676136016845703, 3
71, var_q2_03_R, 2, 0.021881103515625, 3
72, var_q2_03_R, 2, 0.021004676818847656, 3
73, var_q2_03_R, 2, 0.020794153213500977, 3
74, var_q2_03_R, 2, 0.021558284759521484, 3
75, var_q2_03_R, 2, 0.020881175994873047, 3
76, var_q2_03_R, 2, 0.021239519119262695, 3
77, var_q2_03_R, 2, 0.021396160125732422, 3
78, var_q2_03_R, 2, 0.02155303955078125, 3
79, var_q2_03_R, 2, 0.021323204040527344, 3
80, var_q2_03_R, 2, 0.02107548713684082, 3
81, var_q2_03_R, 2, 0.02113628387451172, 3
82, var_q2_03_R, 2, 0.020950794219970703, 3
83, var_q2_03_R, 2, 0.02118659019470215, 3
84, var_q2_03_R, 2, 0.021105289459228516, 3
